,Title,Year of Release,Duration in min,Genre,Rating,Votes in Views,Gross in Millions,Action,Horror,Drama,Crime,Comedy,Thriller,Sci-Fi,Mystery,Adventure,Biography,war
181,Saturday Night Fever,1977,118,"Drama, Music            ",6.8,370472,215.29,0,0,1,0,0,0,0,0,0,0,0
182,Anchorman: The Legend of Ron Burgundy,2004,94,Comedy            ,7.1,212881,82.35,0,0,0,0,1,0,0,0,0,0,0
183,Happiness,1998,134,"Comedy, Drama            ",7.7,185112,40.9,0,0,1,0,1,0,0,0,0,0,0
184,Knocked Up,2007,129,"Comedy, Romance            ",7.0,328196,55.69,0,0,0,0,1,0,0,0,0,0,0
185,District 9,2009,112,"Action, Sci-Fi, Thriller            ",7.9,137754,32.22,1,0,0,0,0,1,1,0,0,0,0
186,Fahrenheit 9/11,2004,122,"Documentary, Drama, War            ",7.5,547316,324.59,0,0,1,0,0,0,0,0,0,0,1
187,Star Trek,2009,127,"Action, Adventure, Sci-Fi            ",8.0,231110,14.67,1,0,0,0,0,0,1,0,1,0,0
188,Senna,2010,106,"Documentary, Biography, Sport            ",8.5,382167,353.01,0,0,0,0,0,0,0,0,0,1,0
189,Serbuan maut,2011,101,"Action, Crime, Thriller            ",7.6,84108,10.0,1,0,0,1,0,1,0,0,0,0,0
190,Brick,2005,110,"Action, Crime, Drama            ",7.2,27683,0.05,1,0,1,1,0,0,0,0,0,0,0
191,The Lives of Others,2006,137,"Drama, Mystery, Thriller            ",8.4,413088,46.89,0,0,1,0,0,1,0,1,0,0,0
192,When We Were Kings,1996,88,"Documentary, Sport            ",8.0,136921,52.1,0,0,0,0,0,0,0,0,0,0,0
193,Groundhog Day,1993,101,"Comedy, Drama, Fantasy            ",8.1,83594,16.31,0,0,1,0,1,0,0,0,0,0,0
194,A Quiet Place,2018,90,"Drama, Horror, Sci-Fi            ",7.5,30356,0.96,0,1,1,0,0,0,1,0,0,0,0
195,Unbreakable,2000,106,"Drama, Mystery, Sci-Fi            ",7.3,132578,30.0,0,0,1,0,0,0,1,1,0,0,0
196,Pan's Labyrinth,2006,118,"Drama, Fantasy, War            ",8.2,181272,41.62,0,0,1,0,0,0,0,0,0,0,1
197,Hugo,2011,126,"Adventure, Drama, Family            ",7.5,202981,8.75,0,0,1,0,0,0,0,0,1,0,0
198,Sunshine,2007,107,"Sci-Fi, Thriller            ",7.2,103145,2.24,0,0,0,0,0,1,1,0,0,0,0
199,The King of Kong,2007,79,"Documentary, Biography, Sport            ",8.1,122218,0.79,0,0,0,0,0,0,0,0,0,1,0
200,The People vs. Larry Flynt,1996,130,"Biography, Drama            ",7.3,73924,4.56,0,0,1,0,0,0,0,0,0,1,0
201,Serenity,2005,119,"Action, Adventure, Sci-Fi            ",7.8,349512,25.38,1,0,0,0,0,0,1,0,1,0,0
202,Night of the Living Dead,1968,96,"Horror, Thriller            ",7.8,59405,108.42,0,1,0,0,0,1,0,0,0,0,0
203,Austin Powers: International Man of Mystery,1997,94,"Adventure, Comedy            ",7.0,169793,16.38,0,0,0,0,1,0,0,0,1,0,0
204,28 Weeks Later,2007,100,"Action, Adventure, Horror            ",6.9,325384,177.0,1,1,0,0,0,0,0,0,1,0,0
205,The Thin Blue Line,1988,101,"Documentary, Crime            ",8.0,176110,3.33,0,0,0,1,0,0,0,0,0,0,0
206,Dog Soldiers,2002,105,"Action, Horror, Thriller            ",6.8,26513,6.71,1,1,0,0,0,1,0,0,0,0,0
207,Dead Poets Society,1989,128,"Comedy, Drama            ",8.1,228568,67.29,0,0,1,0,1,0,0,0,0,0,0
208,Get Shorty,1995,105,"Comedy, Crime, Thriller            ",6.9,81698,48.2,0,0,0,1,1,1,0,0,0,0,0
209,Bad Santa,2003,92,"Comedy, Crime, Drama            ",7.1,100726,22.49,0,0,1,1,1,0,0,0,0,0,0
210,Ghostbusters,1984,105,"Action, Comedy, Fantasy            ",7.8,16110,0.86,1,0,0,0,1,0,0,0,0,0,0
211,Donnie Brasco,1997,127,"Biography, Crime, Drama            ",7.7,343239,173.59,0,0,1,1,0,0,0,0,0,1,0
212,Top Gun,1986,110,"Action, Drama            ",6.9,162825,46.96,1,0,1,0,0,0,0,0,0,0,0
213,Chopper,2000,94,"Biography, Crime, Drama            ",7.2,104889,45.95,0,0,1,1,0,0,0,0,0,1,0
214,The Breakfast Club,1985,97,"Comedy, Drama            ",7.8,102660,27.09,0,0,1,0,1,0,0,0,0,0,0
215,Grosse Pointe Blank,1997,107,"Action, Comedy, Crime            ",7.3,48482,0.23,1,0,0,1,1,0,0,0,0,0,0
216,John Wick: Chapter 3 - Parabellum,2019,130,"Action, Crime, Thriller            ",7.4,58097,1.71,1,0,0,1,0,1,0,0,0,0,0
217,The Dirty Dozen,1967,150,"Action, Adventure, War            ",7.7,39627,35.51,1,0,0,0,0,0,0,0,1,0,1
218,To Kill a Mockingbird,1962,129,"Crime, Drama            ",8.3,22190,1.91,0,0,1,1,0,0,0,0,0,0,0
219,Harold and Maude,1971,91,"Comedy, Drama, Romance            ",7.9,648119,424.67,0,0,1,0,1,0,0,0,0,0,0
220,Vals Im Bashir,2008,90,"Documentary, Animation, Biography            ",8.0,47229,2.65,0,0,0,0,0,0,0,0,0,1,0
221,Shame,2011,101,Drama            ,7.2,434224,66.26,0,0,1,0,0,0,0,0,0,0,0
222,Kill Bill: Vol. 2,2004,137,"Action, Crime, Thriller            ",8.0,151858,106.89,1,0,0,1,0,1,0,0,0,0,0
223,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,"Action, Adventure, Fantasy            ",8.1,233947,74.7,1,0,0,0,0,0,0,0,1,0,0
224,Bottle Rocket,1996,91,"Comedy, Crime, Drama            ",6.9,65143,20.5,0,0,1,1,1,0,0,0,0,0,0
225,The Empire Strikes Back,1980,124,"Action, Adventure, Fantasy            ",8.7,373781,209.84,1,0,0,0,0,0,0,0,1,0,0
226,Jackass: The Movie,2002,85,"Documentary, Action, Comedy            ",6.6,55389,129.8,1,0,0,0,1,0,0,0,0,0,0
227,Point Break,1991,122,"Action, Crime, Thriller            ",7.3,446875,90.14,1,0,0,1,0,1,0,0,0,0,0
228,The Squid and the Whale,2005,81,"Comedy, Drama            ",7.3,2782,0.51,0,0,1,0,1,0,0,0,0,0,0
229,The Irishman,2019,209,"Biography, Crime, Drama            ",7.8,19276,5.0,0,0,1,1,0,0,0,0,0,1,0
230,Once Upon a Time in the West,1968,165,Western            ,8.5,204340,6.39,0,0,0,0,0,0,0,0,0,0,0
231,RoboCop,1987,102,"Action, Crime, Sci-Fi            ",7.6,62570,42.37,1,0,0,1,0,0,1,0,0,0,0
232,Bonnie and Clyde,1967,111,"Action, Biography, Crime            ",7.8,18286,32.48,1,0,0,1,0,0,0,0,0,1,0
233,"South Park: Bigger, Longer & Uncut",1999,81,"Animation, Comedy, Fantasy            ",7.7,3841,0.01,0,0,0,0,1,0,0,0,0,0,0
234,The Texas Chain Saw Massacre,1974,83,Horror            ,7.5,26193,2.3,0,1,0,0,0,0,0,0,0,0,0
235,Dodgeball: A True Underdog Story,2004,92,"Comedy, Sport            ",6.7,74741,38.04,0,0,0,0,1,0,0,0,0,0,0
236,La piel que habito,2011,120,"Drama, Horror, Thriller            ",7.6,213172,44.54,0,1,1,0,0,1,0,0,0,0,0
237,Ruby Sparks,2012,104,"Comedy, Drama, Fantasy            ",7.2,150064,1.74,0,0,1,0,1,0,0,0,0,0,0
238,Layer Cake,2004,105,"Action, Crime, Drama            ",7.3,89237,37.74,1,0,1,1,0,0,0,0,0,0,0
239,Rounders,1998,121,"Crime, Drama            ",7.3,146982,80.25,0,0,1,1,0,0,0,0,0,0,0
240,Superman,1978,143,"Action, Adventure, Sci-Fi            ",7.4,111617,86.93,1,0,0,0,0,0,1,0,1,0,0
241,Day of the Dead,1985,101,"Horror, Thriller            ",7.1,413872,56.82,0,1,0,0,0,1,0,0,0,0,0
242,Marathon Man,1976,125,"Crime, Thriller            ",7.4,237169,77.32,0,0,0,1,0,1,0,0,0,0,0
243,Midnight Cowboy,1969,113,Drama            ,7.8,166843,82.16,0,0,1,0,0,0,0,0,0,0,0
244,Life of Brian,1979,94,Comedy            ,8.1,11174,16.64,0,0,0,0,1,0,0,0,0,0,0
245,Raising Arizona,1987,94,"Comedy, Crime            ",7.3,96160,49.44,0,0,0,1,1,0,0,0,0,0,0
246,Moon,2009,97,"Drama, Mystery, Sci-Fi            ",7.8,4992,2.33,0,0,1,0,0,0,1,1,0,0,0
247,Clerks,1994,92,Comedy            ,7.7,98149,34.6,0,0,0,0,1,0,0,0,0,0,0
248,Drag Me to Hell,2009,99,Horror            ,6.6,86641,4.17,0,1,0,0,0,0,0,0,0,0,0
249,Brazil,1985,132,"Drama, Sci-Fi            ",7.9,247069,53.33,0,0,1,0,0,0,1,0,0,0,0
250,The Bourne Supremacy,2004,108,"Action, Mystery, Thriller            ",7.7,51401,50.61,1,0,0,0,0,1,0,1,0,0,0
251,Trois couleurs: Rouge,1994,99,"Drama, Mystery, Romance            ",8.1,1016751,422.78,0,0,1,0,0,0,0,1,0,0,0
252,A History of Violence,2005,96,"Action, Crime, Drama            ",7.4,42693,2.91,1,0,1,1,0,0,0,0,0,0,0
253,The Hangover,2009,100,Comedy            ,7.7,337259,0.27,0,0,0,0,1,0,0,0,0,0,0
254,Scott Pilgrim vs. the World,2010,112,"Action, Comedy, Fantasy            ",7.6,51453,8.41,1,0,0,0,1,0,0,0,0,0,0
255,The Producers,1967,88,"Comedy, Music            ",7.5,245779,8.7,0,0,0,0,1,0,0,0,0,0,0
256,Animal Kingdom,2010,113,"Crime, Drama            ",7.3,157097,35.1,0,0,1,1,0,0,0,0,0,0,0
257,The Hudsucker Proxy,1994,111,"Comedy, Drama, Fantasy            ",7.2,599110,218.82,0,0,1,0,1,0,0,0,0,0,0
258,Jerry Maguire,1996,139,"Comedy, Drama, Romance            ",7.3,425109,109.45,0,0,1,0,1,0,0,0,0,0,0
259,Speed,1994,116,"Action, Adventure, Thriller            ",7.3,168326,102.27,1,0,0,0,0,1,0,0,1,0,0
260,True Grit,2010,110,"Drama, Western            ",7.6,224016,163.21,0,0,1,0,0,0,0,0,0,0,0
261,Cool Hand Luke,1967,127,"Crime, Drama            ",8.1,664430,100.55,0,0,1,1,0,0,0,0,0,0,0
262,American: The Bill Hicks Story,2009,102,"Documentary, Animation, Biography            ",7.7,271472,47.7,0,0,0,0,0,0,0,0,0,1,0
263,The Graduate,1967,106,"Comedy, Drama, Romance            ",8.0,506167,107.83,0,0,1,0,1,0,0,0,0,0,0
264,A Bronx Tale,1993,121,"Crime, Drama            ",7.8,688116,315.06,0,0,1,1,0,0,0,0,0,0,0
265,Låt den rätte komma in,2008,114,"Drama, Fantasy, Horror            ",7.9,52362,16.79,0,1,1,0,0,0,0,0,0,0,0
266,As Good as It Gets,1997,139,"Comedy, Drama, Romance            ",7.7,643007,389.81,0,0,1,0,1,0,0,0,0,0,0
267,A Serious Man,2009,106,"Comedy, Drama            ",7.0,147644,81.9,0,0,1,0,1,0,0,0,0,0,0
268,The Fly,1986,96,"Drama, Horror, Sci-Fi            ",7.6,267030,75.75,0,1,1,0,0,0,1,0,0,0,0
269,The Wrestler,2008,109,"Drama, Sport            ",7.9,36104,0.02,0,0,1,0,0,0,0,0,0,0,0
270,Titanic,1997,194,"Drama, Romance            ",7.9,120647,14.43,0,0,1,0,0,0,0,0,0,0,0
271,The Fugitive,1993,130,"Action, Crime, Drama            ",7.8,163505,28.78,1,0,1,1,0,0,0,0,0,0,0
272,Star Wars,1977,121,"Action, Adventure, Fantasy            ",8.6,46142,1.8,1,0,0,0,0,0,0,0,1,0,0
273,The Hustler,1961,134,"Drama, Sport            ",8.0,370472,215.29,0,0,1,0,0,0,0,0,0,0,0
274,Per un pugno di dollari,1964,99,"Action, Drama, Western            ",7.9,212881,82.35,1,0,1,0,0,0,0,0,0,0,0
275,Don't Look Now,1973,110,"Drama, Horror, Mystery            ",7.2,185112,40.9,0,1,1,0,0,0,0,1,0,0,0
276,Fantastic Mr. Fox,2009,87,"Animation, Adventure, Comedy            ",7.9,328196,55.69,0,0,0,0,1,0,0,0,1,0,0
277,The Mist,2007,126,"Horror, Sci-Fi, Thriller            ",7.2,137754,32.22,0,1,0,0,0,1,1,0,0,0,0
278,Field of Dreams,1989,107,"Drama, Family, Fantasy            ",7.5,547316,324.59,0,0,1,0,0,0,0,0,0,0,0
279,Rise of the Planet of the Apes,2011,105,"Action, Drama, Sci-Fi            ",7.6,231110,14.67,1,0,1,0,0,0,1,0,0,0,0
280,Moneyball,2011,133,"Biography, Drama, Sport            ",7.6,382167,353.01,0,0,1,0,0,0,0,0,0,1,0
281,Jackass Number Two,2006,92,"Documentary, Action, Comedy            ",7.0,84108,10.0,1,0,0,0,1,0,0,0,0,0,0
282,Mud,2012,130,Drama            ,7.4,413088,46.89,0,0,1,0,0,0,0,0,0,0,0
283,Hodejegerne,2011,100,"Action, Crime, Thriller            ",7.5,136921,52.1,1,0,0,1,0,1,0,0,0,0,0
284,This Is the End,2013,107,Comedy            ,6.6,83594,16.31,0,0,0,0,1,0,0,0,0,0,0
285,Guardians of the Galaxy,2014,121,"Action, Adventure, Comedy            ",8.1,30356,0.96,1,0,0,0,1,0,0,0,1,0,0
286,Serbuan maut 2: Berandal,2014,150,"Action, Crime, Thriller            ",7.9,132578,30.0,1,0,0,1,0,1,0,0,0,0,0
287,Mad Max: Fury Road,2015,120,"Action, Adventure, Sci-Fi            ",8.1,181272,41.62,1,0,0,0,0,0,1,0,1,0,0
288,The Descent,2005,99,"Adventure, Horror, Thriller            ",7.2,202981,8.75,0,1,0,0,0,1,0,0,1,0,0
289,Patriots Day,2016,133,"Action, Crime, Drama            ",7.4,103145,2.24,1,0,1,1,0,0,0,0,0,0,0
290,2001: A Space Odyssey,1968,149,"Adventure, Sci-Fi            ",8.3,122218,0.79,0,0,0,0,0,0,1,0,1,0,0
291,Insomnia,2002,118,"Drama, Mystery, Thriller            ",7.2,73924,4.56,0,0,1,0,0,1,0,1,0,0,0
292,The Curious Case of Benjamin Button,2008,166,"Drama, Fantasy, Romance            ",7.8,349512,25.38,0,0,1,0,0,0,0,0,0,0,0
293,Batman,1989,126,"Action, Adventure            ",7.5,59405,108.42,1,0,0,0,0,0,0,0,1,0,0
294,Sleepy Hollow,1999,105,"Fantasy, Horror, Mystery            ",7.3,169793,16.38,0,1,0,0,0,0,0,1,0,0,0
295,The Third Man,1949,104,"Film-Noir, Mystery, Thriller            ",8.1,325384,177.0,0,0,0,0,0,1,0,1,0,0,0
296,Spider-Man 2,2004,127,"Action, Adventure, Sci-Fi            ",7.4,176110,3.33,1,0,0,0,0,0,1,0,1,0,0
297,24 Hour Party People,2002,117,"Biography, Comedy, Drama            ",7.3,26513,6.71,0,0,1,0,1,0,0,0,0,1,0
298,The Blair Witch Project,1999,81,"Horror, Mystery            ",6.5,228568,67.29,0,1,0,0,0,0,0,1,0,0,0
299,End of Watch,2012,109,"Action, Adventure, Crime            ",7.6,81698,48.2,1,0,0,1,0,0,0,0,1,0,0
300,WALL·E,2008,98,"Animation, Adventure, Family            ",8.4,100726,22.49,0,0,0,0,0,0,0,0,1,0,0
301,The Imposter,2012,99,"Documentary, Biography, Crime            ",7.5,16110,0.86,0,0,0,1,0,0,0,0,0,1,0
302,Salvador,1986,122,"Drama, History, Thriller            ",7.4,343239,173.59,0,0,1,0,0,1,0,0,0,0,0
303,X2,2003,134,"Action, Sci-Fi, Thriller            ",7.4,162825,46.96,1,0,0,0,0,1,1,0,0,0,0
304,Spider-Man,2002,121,"Action, Adventure, Sci-Fi            ",7.4,107276,3.13,1,0,0,0,0,0,1,0,1,0,0
305,North by Northwest,1959,136,"Adventure, Mystery, Thriller            ",8.3,104889,45.95,0,0,0,0,0,1,0,1,1,0,0
306,Inside Man,2006,129,"Crime, Drama, Mystery            ",7.6,102660,27.09,0,0,1,1,0,0,0,1,0,0,0
307,Face/Off,1997,138,"Action, Crime, Sci-Fi            ",7.3,48482,0.23,1,0,0,1,0,0,1,0,0,0,0
308,The Lego Movie,2014,100,"Animation, Action, Adventure            ",7.7,58097,1.71,1,0,0,0,0,0,0,0,1,0,0
309,Batoru rowaiaru,2000,114,"Action, Adventure, Drama            ",7.6,39627,35.51,1,0,1,0,0,0,0,0,1,0,0
310,Mission: Impossible - Ghost Protocol,2011,132,"Action, Adventure, Thriller            ",7.4,22190,1.91,1,0,0,0,0,1,0,0,1,0,0
311,Mission: Impossible,1996,110,"Action, Adventure, Thriller            ",7.1,648119,424.67,1,0,0,0,0,1,0,0,1,0,0
312,Collateral,2004,120,"Action, Crime, Drama            ",7.5,47229,2.65,1,0,1,1,0,0,0,0,0,0,0
313,Edge of Tomorrow,2014,113,"Action, Adventure, Sci-Fi            ",7.9,434224,66.26,1,0,0,0,0,0,1,0,1,0,0
314,Snowpiercer,2013,126,"Action, Sci-Fi, Thriller            ",7.1,151858,106.89,1,0,0,0,0,1,1,0,0,0,0
315,Blade,1998,120,"Action, Horror, Sci-Fi            ",7.1,233947,74.7,1,1,0,0,0,0,1,0,0,0,0
316,The Crying Game,1992,112,"Crime, Drama, Romance            ",7.2,373781,209.84,0,0,1,1,0,0,0,0,0,0,0
317,Grizzly Man,2005,103,"Documentary, Biography            ",7.8,55389,129.8,0,0,0,0,0,0,0,0,0,1,0
318,Starship Troopers,1997,129,"Action, Adventure, Sci-Fi            ",7.3,446875,90.14,1,0,0,0,0,0,1,0,1,0,0
319,Dig!,2004,107,"Documentary, Music            ",7.7,2782,0.51,0,0,0,0,0,0,0,0,0,0,0
320,Idi i smotri,1985,142,"Drama, Thriller, War            ",8.4,19276,5.0,0,0,1,0,0,1,0,0,0,0,1
321,Jûsan-nin no shikaku,2010,141,"Action, Adventure, Drama            ",7.5,204340,6.39,1,0,1,0,0,0,0,0,1,0,0
322,Gone Baby Gone,2007,114,"Crime, Drama, Mystery            ",7.6,62570,42.37,0,0,1,1,0,0,0,1,0,0,0
323,Rango,2011,107,"Animation, Action, Adventure            ",7.2,18286,32.48,1,0,0,0,0,0,0,0,1,0,0
324,Trois couleurs: Blanc,1994,92,"Comedy, Drama, Romance            ",7.6,3841,0.01,0,0,1,0,1,0,0,0,0,0,0
325,Murderball,2005,88,"Documentary, Sport            ",7.7,26193,2.3,0,0,0,0,0,0,0,0,0,0,0
326,Dogville,2003,178,"Crime, Drama            ",8.0,74741,38.04,0,0,1,1,0,0,0,0,0,0,0
327,Blow Out,1981,108,"Crime, Drama, Mystery            ",7.4,213172,44.54,0,0,1,1,0,0,0,1,0,0,0
328,Marley,2012,144,"Documentary, Biography, Music            ",7.9,150064,1.74,0,0,0,0,0,0,0,0,0,1,0
329,American Splendor,2003,101,"Biography, Comedy, Drama            ",7.4,89237,37.74,0,0,1,0,1,0,0,0,0,1,0
330,Changeling,2008,141,"Biography, Crime, Drama            ",7.8,146982,80.25,0,0,1,1,0,0,0,0,0,1,0
331,Braveheart,1995,178,"Biography, Drama, History            ",8.4,111617,86.93,0,0,1,0,0,0,0,0,0,1,0
332,The Fisher King,1991,137,"Comedy, Drama, Fantasy            ",7.5,413872,56.82,0,0,1,0,1,0,0,0,0,0,0
333,Wild at Heart,1990,125,"Comedy, Crime, Drama            ",7.2,237169,77.32,0,0,1,1,1,0,0,0,0,0,0
334,Control,2007,122,"Biography, Drama, Music            ",7.7,166843,82.16,0,0,1,0,0,0,0,0,0,1,0
335,In the Loop,2009,106,Comedy            ,7.4,11174,16.64,0,0,0,0,1,0,0,0,0,0,0
336,Cop Land,1997,105,"Crime, Drama, Thriller            ",7.0,96160,49.44,0,0,1,1,0,1,0,0,0,0,0
337,Oldeuboi,2003,101,"Action, Drama, Mystery            ",8.4,4992,2.33,1,0,1,0,0,0,0,1,0,0,0
338,Black Swan,2010,108,"Drama, Thriller            ",8.0,98149,34.6,0,0,1,0,0,1,0,0,0,0,0
339,Salinui chueok,2003,131,"Crime, Drama, Mystery            ",8.1,86641,4.17,0,0,1,1,0,0,0,1,0,0,0
340,Willy Wonka & the Chocolate Factory,1971,100,"Family, Fantasy, Musical            ",7.8,247069,53.33,0,0,0,0,0,0,0,0,0,0,0
341,Argo,2012,120,"Biography, Drama, Thriller            ",7.7,51401,50.61,0,0,1,0,0,1,0,0,0,1,0
342,Dawn of the Planet of the Apes,2014,130,"Action, Adventure, Drama            ",7.6,1016751,422.78,1,0,1,0,0,0,0,0,1,0,0
343,The Taking of Pelham One Two Three,1974,104,"Action, Crime, Thriller            ",7.7,42693,2.91,1,0,0,1,0,1,0,0,0,0,0
344,50/50,2011,100,"Comedy, Drama, Romance            ",7.6,337259,0.27,0,0,1,0,1,0,0,0,0,0,0
345,Notting Hill,1999,124,"Comedy, Drama, Romance            ",7.2,51453,8.41,0,0,1,0,1,0,0,0,0,0,0
346,The Grand Budapest Hotel,2014,99,"Adventure, Comedy, Crime            ",8.1,245779,8.7,0,0,0,1,1,0,0,0,1,0,0
347,The Proposition,2005,104,"Crime, Drama, Western            ",7.3,157097,35.1,0,0,1,1,0,0,0,0,0,0,0
348,Bernie,2011,99,"Biography, Comedy, Crime            ",6.8,599110,218.82,0,0,0,1,1,0,0,0,0,1,0
349,The Aviator,2004,170,"Biography, Drama            ",7.5,425109,109.45,0,0,1,0,0,0,0,0,0,1,0
350,Knuckle,2011,97,"Documentary, Biography, Drama            ",6.8,168326,102.27,0,0,1,0,0,0,0,0,0,1,0
351,Paths of Glory,1957,88,"Drama, War            ",8.4,224016,163.21,0,0,1,0,0,0,0,0,0,0,1
352,A Hard Day's Night,1964,87,"Comedy, Musical            ",7.6,664430,100.55,0,0,0,0,1,0,0,0,0,0,0
353,Moonrise Kingdom,2012,94,"Comedy, Drama, Romance            ",7.8,271472,47.7,0,0,1,0,1,0,0,0,0,0,0
354,Capitalism: A Love Story,2009,127,"Documentary, Crime, History            ",7.4,532723,92.05,0,0,0,1,0,0,0,0,0,0,0
355,Galaxy Quest,1999,102,"Adventure, Comedy, Sci-Fi            ",7.4,506167,107.83,0,0,0,0,1,0,1,0,1,0,0
356,A Room for Romeo Brass,1999,90,"Comedy, Drama            ",7.6,688116,315.06,0,0,1,0,1,0,0,0,0,0,0
357,Big,1988,104,"Comedy, Drama, Fantasy            ",7.3,52362,16.79,0,0,1,0,1,0,0,0,0,0,0
358,L'instinct de mort,2008,113,"Action, Biography, Crime            ",7.5,643007,389.81,1,0,0,1,0,0,0,0,0,1,0
359,Michael Clayton,2007,119,"Crime, Drama, Mystery            ",7.2,147644,81.9,0,0,1,1,0,0,0,1,0,0,0
360,The Fifth Element,1997,126,"Action, Adventure, Sci-Fi            ",7.7,267030,75.75,1,0,0,0,0,0,1,0,1,0,0
